overall_qual,age,exter_qual,bsmt_qual,total_bsmt_sf,heating_qc,1st_flr_sf,gr_liv_area,total_bath,kitchen_qual,fireplace_qu,garage_cars,house_style,exterior_1st,mas_vnr_type,foundation,garage_type,overall_qual*overall_qual,overall_qual*gr_liv_area,exter_qual*1st_flr_sf,total_bsmt_sf*kitchen_qual,mas_vnr_area,lot_area,bsmtfin_type_1,ms_zoning,lot_config,saleprice
5,30,3,0,0.0,3,1535,1535,2.0,3,0,2.0,1Story,Plywood,None,Slab,Attchd,25,7675,4605,0.0,0.0,7018,0,RL,Inside,118858
6,8,3,3,800.0,4,800,1632,2.0,4,0,2.0,2Story,HdBoard,BrkFace,CBlock,Attchd,36,9792,2400,3200.0,252.0,9130,6,RL,Inside,173000
3,11,3,3,630.0,3,725,725,1.5,3,0,1.0,1Story,VinylSd,None,BrkTil,Detchd,9,2175,2175,1890.0,0.0,10800,1,RL,Corner,78500
7,3,4,4,840.0,5,840,1720,2.5,4,4,2.0,2Story,VinylSd,None,PConc,Attchd,49,12040,3360,3360.0,0.0,8244,1,RL,Inside,183500
4,56,2,2,936.0,3,936,936,1.0,3,0,2.0,1Story,MetalSd,None,CBlock,Detchd,16,3744,1872,2808.0,0.0,6000,1,RM,Inside,93000
8,4,4,4,1406.0,5,1589,1589,3.0,4,3,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,12712,6356,5624.0,72.0,3621,6,RL,Inside,226500
6,15,4,4,799.0,4,799,1571,2.5,3,3,2.0,2Story,VinylSd,None,PConc,Attchd,36,9426,3196,2397.0,0.0,7837,1,RL,Inside,178000
7,4,4,4,1453.0,5,1479,1479,3.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,10353,5916,5812.0,167.0,10665,6,RL,Inside,226000
5,40,4,3,784.0,5,784,1632,1.5,3,3,2.0,2Story,VinylSd,BrkFace,CBlock,Attchd,25,8160,3136,2352.0,178.0,10457,4,RL,Inside,173000
5,44,3,3,864.0,4,864,864,1.0,3,1,1.0,1Story,MetalSd,None,CBlock,Detchd,25,4320,2592,2592.0,0.0,8281,3,RL,Inside,62383
9,0,5,5,1452.0,5,1476,2713,3.5,5,4,3.0,2Story,VinylSd,Stone,PConc,Attchd,81,24417,7380,7260.0,268.0,14948,6,RL,Inside,446261
7,9,3,3,624.0,5,743,1479,2.0,4,4,1.0,2Story,Wd Sdng,None,BrkTil,Detchd,49,10353,2229,2496.0,0.0,7000,5,RL,Inside,160000
7,4,4,4,1393.0,5,1576,1576,3.0,4,3,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,11032,6304,5572.0,24.0,3940,6,RM,Inside,219990
7,8,4,4,1468.0,5,1479,1479,2.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,10353,5916,5872.0,125.0,9382,1,RL,CulDSac,191000
5,13,3,3,756.0,3,916,1060,2.0,3,4,1.0,1Story,MetalSd,None,PConc,Detchd,25,5300,2748,2268.0,0.0,6854,2,RL,Inside,136500
4,13,3,0,0.0,3,943,943,1.0,4,0,1.0,1Story,HdBoard,None,Slab,Detchd,16,3772,2829,0.0,0.0,11515,0,RL,CulDSac,80000
7,18,4,4,1204.0,4,1377,2183,2.5,4,0,3.0,1.5Fin,HdBoard,BrkFace,PConc,Attchd,49,15281,5508,4816.0,178.0,13837,6,RL,Corner,229000
7,16,4,4,1050.0,5,1062,1949,3.5,4,3,2.0,2Story,MetalSd,BrkFace,PConc,Attchd,49,13643,4248,4200.0,246.0,9938,6,RL,Inside,236000
10,0,5,5,1824.0,5,1824,1824,2.0,5,4,3.0,1Story,MetalSd,BrkFace,PConc,Attchd,100,18240,9120,9120.0,242.0,12633,1,RL,Inside,392000
6,59,3,3,720.0,2,1146,1930,3.0,3,0,1.0,2Story,Plywood,None,CBlock,Attchd,36,11580,3438,2160.0,0.0,6876,4,RM,Inside,149000
10,9,5,4,970.0,5,1469,2393,3.5,5,3,2.0,2Story,BrkFace,None,PConc,Attchd,100,23930,7345,4850.0,0.0,3951,4,FV,Inside,345000
5,1,4,2,716.0,5,1007,2014,2.0,3,0,2.0,2Story,CemntBd,None,PConc,Detchd,25,10070,4028,2148.0,0.0,9856,1,RM,Corner,169000
4,57,3,3,484.0,3,1242,1242,1.0,3,0,1.0,1Story,Wd Sdng,None,CBlock,Attchd,16,4968,3726,1452.0,0.0,17808,1,RL,Inside,109900
7,12,3,4,996.0,5,996,2000,2.5,3,3,3.0,2Story,HdBoard,BrkFace,PConc,Attchd,49,14000,2988,2988.0,94.0,9627,2,RL,Inside,188000
6,59,3,3,780.0,5,825,1412,1.0,3,4,1.0,1.5Fin,MetalSd,None,CBlock,Detchd,36,8472,2475,2340.0,0.0,6000,1,RM,Inside,132500
5,15,3,3,990.0,5,990,990,2.0,3,0,1.0,1Story,VinylSd,None,PConc,Attchd,25,4950,2970,2970.0,0.0,9757,5,RL,Inside,143000
5,56,3,2,1342.0,5,1342,1342,2.0,3,0,1.0,1Story,Wd Sdng,None,CBlock,Detchd,25,6710,4026,4026.0,0.0,9280,5,RL,Inside,125000
9,1,5,5,1868.0,5,1868,1868,3.0,5,4,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,81,16812,9340,9340.0,568.0,14780,6,RL,Corner,415000
4,60,3,2,622.0,4,741,1363,1.0,3,0,2.0,2Story,VinylSd,None,CBlock,Detchd,16,5452,2223,1866.0,0.0,7740,1,RM,Inside,125500
6,21,3,3,1240.0,4,1632,1632,3.0,3,4,1.0,1Story,Wd Sdng,BrkCmn,CBlock,Attchd,36,9792,4896,3720.0,183.0,9600,3,RL,Inside,139000
10,1,5,5,1722.0,5,1728,2296,3.5,5,4,3.0,2Story,CemntBd,Stone,PConc,BuiltIn,100,22960,8640,8610.0,420.0,13478,6,RL,Corner,451950
8,7,4,5,1267.0,5,1296,1296,3.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,10368,5184,5068.0,136.0,6853,6,RL,Inside,220000
6,36,3,3,1587.0,3,1587,1587,2.0,3,4,2.0,1Story,MetalSd,BrkFace,CBlock,Attchd,36,9522,4761,4761.0,302.0,10667,4,RL,Inside,167300
5,59,3,3,720.0,5,854,1298,1.0,3,4,1.0,1.5Fin,Wd Sdng,None,CBlock,Detchd,25,6490,2562,2160.0,0.0,8212,3,RL,Inside,122000
5,43,3,3,1728.0,3,1728,1728,3.0,3,0,2.0,1Story,HdBoard,BrkFace,CBlock,Detchd,25,8640,5184,5184.0,336.0,9100,3,RM,Inside,125000
5,51,3,3,928.0,4,928,928,1.0,3,0,1.0,1Story,BrkFace,None,CBlock,Attchd,25,4640,2784,2784.0,0.0,6000,3,RM,Inside,112500
7,1,4,4,879.0,5,879,1795,2.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,49,12565,3516,3516.0,0.0,9316,1,RL,Inside,191000
6,50,3,3,1080.0,4,1080,1080,1.0,3,0,1.0,1Story,MetalSd,BrkFace,CBlock,Attchd,36,6480,3240,3240.0,135.0,9464,4,RL,Corner,136000
7,11,3,4,866.0,5,866,1779,2.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,49,12453,2598,3464.0,0.0,10400,1,RL,Corner,197900
6,3,3,3,485.0,4,1001,1635,1.0,4,0,1.0,1.5Fin,VinylSd,None,CBlock,Attchd,36,9810,3003,1940.0,0.0,5310,1,RM,Corner,117000
7,0,4,4,1199.0,5,1220,1220,3.0,4,0,2.0,1Story,VinylSd,Stone,PConc,Attchd,49,8540,4880,4796.0,84.0,7406,6,RL,Inside,194000
9,7,4,5,1310.0,5,1310,1310,2.5,4,3,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,81,11790,5240,5240.0,179.0,4538,6,FV,Inside,285000
7,6,4,4,1095.0,5,1166,2295,3.5,4,3,2.0,2Story,HdBoard,None,PConc,Attchd,49,16065,4664,4380.0,0.0,13346,6,RL,CulDSac,268000
4,57,3,3,1075.0,5,1156,1798,2.5,3,0,2.0,2Story,MetalSd,None,PConc,Detchd,16,7192,3468,3225.0,0.0,9639,1,RM,Inside,137000
7,41,3,3,1620.0,5,1620,1620,2.0,4,4,2.0,1Story,Plywood,None,CBlock,Attchd,49,11340,4860,6480.0,0.0,15387,5,RL,CulDSac,215000
5,52,3,3,1216.0,3,1216,1216,2.0,3,0,1.0,1Story,MetalSd,None,CBlock,Attchd,25,6080,3648,3648.0,0.0,10050,3,RL,Inside,129500
5,56,3,4,896.0,4,896,1344,1.0,3,0,1.0,1.5Fin,MetalSd,None,BrkTil,Detchd,25,6720,2688,2688.0,0.0,6240,1,RM,Inside,115000
5,58,3,3,747.0,3,747,1159,1.0,3,0,1.0,1.5Fin,VinylSd,None,PConc,Detchd,25,5795,2241,2241.0,0.0,7506,1,RL,Corner,114000
4,40,3,3,1056.0,3,1056,1056,2.0,3,0,1.0,1Story,HdBoard,None,CBlock,Detchd,16,4224,3168,3168.0,0.0,8900,3,RH,Inside,107000
5,58,3,3,832.0,3,832,1216,1.0,3,0,1.0,1.5Fin,MetalSd,None,CBlock,Detchd,25,6080,2496,2496.0,0.0,8480,3,RL,Inside,118500
6,58,3,3,862.0,3,950,1158,1.0,3,4,1.0,1.5Fin,WdShing,None,BrkTil,BuiltIn,36,6948,2850,2586.0,0.0,6000,1,RM,Corner,120000
8,2,4,4,1538.0,5,1538,1538,3.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,12304,6152,6152.0,148.0,8847,6,RL,Inside,260000
5,51,3,3,1143.0,3,1143,1143,2.0,3,0,1.0,1Story,MetalSd,BrkFace,CBlock,Attchd,25,5715,3429,3429.0,150.0,8050,4,RL,Inside,136000
4,36,3,3,858.0,3,872,872,1.0,3,0,4.0,1Story,MetalSd,None,CBlock,Detchd,16,3488,2616,2574.0,0.0,8294,1,RL,Inside,123000
6,5,4,4,1324.0,5,1324,1324,2.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,36,7944,5296,5296.0,0.0,18494,1,RL,Corner,199500
5,42,3,3,876.0,3,904,904,1.0,3,0,1.0,1Story,HdBoard,BrkCmn,PConc,Attchd,25,4520,2712,2628.0,41.0,7162,1,RL,Inside,109900
7,5,4,4,1276.0,5,1276,2080,1.5,4,4,1.0,2Story,MetalSd,None,BrkTil,Detchd,49,14560,5104,5104.0,0.0,10918,1,RL,Inside,234000
6,2,4,4,848.0,5,848,848,2.0,4,4,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,36,5088,3392,3392.0,169.0,4435,6,RM,Inside,155900
4,20,3,3,1104.0,5,1104,1788,2.0,3,3,1.0,1.5Fin,Wd Sdng,None,CBlock,Attchd,16,7152,3312,3312.0,0.0,11250,1,RL,Inside,161500
6,51,3,3,819.0,4,1344,1344,1.5,4,4,2.0,SLvl,HdBoard,BrkFace,CBlock,Basment,36,8064,4032,3276.0,541.0,14375,6,RL,CulDSac,137500
6,18,4,4,1151.0,3,1164,2060,3.0,3,3,2.0,2Story,Plywood,BrkFace,PConc,Attchd,36,12360,4656,3453.0,268.0,10029,6,RL,Corner,211000
6,9,4,4,1405.0,5,1337,1337,3.0,4,0,2.0,1Story,MetalSd,None,PConc,Attchd,36,8022,5348,5620.0,0.0,4060,6,RH,Inside,181000
6,42,3,3,1127.0,3,1165,1165,2.5,3,0,2.0,SLvl,HdBoard,BrkFace,CBlock,Attchd,36,6990,3495,3381.0,183.0,9020,3,RL,Inside,174900
5,40,3,3,1164.0,5,1320,1320,2.0,3,2,2.0,SLvl,VinylSd,BrkFace,CBlock,Attchd,25,6600,3960,3492.0,97.0,11777,2,RL,Inside,164500
7,6,4,4,1517.0,5,1535,1535,2.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,10745,6140,6068.0,168.0,10171,6,RL,Inside,214000
7,20,3,4,738.0,3,1277,2044,2.5,3,3,2.0,2Story,HdBoard,BrkFace,CBlock,Attchd,49,14308,3831,2214.0,280.0,10400,1,RL,Inside,185000
4,58,3,3,704.0,5,624,1136,1.5,3,0,1.0,1.5Fin,MetalSd,None,PConc,Detchd,16,4544,1872,2112.0,0.0,6240,4,RM,Inside,123000
6,28,3,4,1001.0,3,1299,1299,3.0,4,1,2.0,SFoyer,HdBoard,None,CBlock,BuiltIn,36,7794,3897,4004.0,0.0,12150,6,RL,CulDSac,183500
8,7,4,4,776.0,5,764,1441,2.5,4,0,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,64,11528,3056,3104.0,456.0,2645,1,FV,Inside,174000
5,54,3,3,1073.0,3,1630,1630,2.0,3,3,2.0,1Story,MetalSd,None,CBlock,Detchd,25,8150,4890,3219.0,0.0,22692,3,RL,Inside,130000
7,16,3,3,728.0,5,832,1641,2.0,5,4,2.0,2Story,Wd Sdng,None,BrkTil,Detchd,49,11487,2496,3640.0,0.0,9600,2,RM,Inside,178000
5,12,3,4,928.0,4,928,1629,2.5,3,3,2.0,2Story,VinylSd,None,PConc,Attchd,25,8145,2784,2784.0,0.0,13830,6,RL,Inside,189900
6,5,4,4,848.0,5,848,848,2.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,36,5088,3392,3392.0,170.0,4435,6,RM,Inside,144000
6,1,4,3,816.0,5,816,816,1.0,3,0,1.0,1Story,Wd Sdng,None,BrkTil,Detchd,36,4896,3264,2448.0,0.0,5890,5,RM,Corner,120500
5,14,3,4,1097.0,5,1097,1097,1.5,3,0,2.0,1Story,VinylSd,None,PConc,Attchd,25,5485,3291,3291.0,0.0,10859,1,RL,Corner,145000
8,7,4,4,1494.0,5,1652,1652,3.0,5,0,2.0,1Story,CemntBd,None,PConc,Attchd,64,13216,6608,7470.0,0.0,5330,6,RL,Inside,251000
2,59,2,0,0.0,3,810,810,1.0,3,0,1.0,1Story,Wd Sdng,None,CBlock,Detchd,4,1620,1620,0.0,0.0,21780,0,I (all),Inside,57625
7,1,4,4,1350.0,5,1358,1358,3.0,4,4,2.0,1Story,VinylSd,Stone,PConc,Attchd,49,9506,5432,5400.0,176.0,10307,6,RL,Inside,212500
6,8,3,5,1216.0,5,1216,1216,3.0,3,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,36,7296,3648,3648.0,116.0,4500,6,RM,FR2,164000
6,49,3,3,967.0,4,967,1638,2.0,4,0,1.0,1.5Fin,MetalSd,BrkFace,CBlock,Detchd,36,9828,2901,3868.0,327.0,9060,1,RM,Inside,139000
7,8,4,4,600.0,5,624,1252,3.5,4,0,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,49,8764,2496,2400.0,212.0,2160,4,FV,Inside,160000
5,16,3,4,828.0,3,883,883,2.0,3,2,2.0,SFoyer,HdBoard,None,PConc,Detchd,25,4415,2649,2484.0,0.0,7669,6,RL,Inside,149000
5,41,3,3,864.0,3,874,874,2.0,3,0,1.0,1Story,HdBoard,None,CBlock,Attchd,25,4370,2622,2592.0,0.0,9858,4,RL,Inside,130000
7,60,3,3,576.0,4,902,1710,2.0,3,0,2.0,2Story,Stucco,None,BrkTil,Detchd,49,11970,2706,1728.0,0.0,10300,1,RM,Inside,140000
8,0,4,4,1836.0,5,1836,1836,2.0,4,4,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,14688,7344,7344.0,288.0,8125,1,FV,Corner,264500
5,49,3,3,1092.0,3,1092,1092,2.0,3,3,1.0,1Story,Wd Sdng,None,CBlock,Attchd,25,5460,3276,3276.0,0.0,14850,3,RL,Inside,141000
6,32,3,4,1350.0,3,1334,1334,2.5,3,3,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,36,8004,4002,4050.0,360.0,9650,5,RL,Inside,167900
6,20,3,3,1144.0,5,1429,1429,1.5,4,4,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,36,8574,4287,4576.0,85.0,14585,4,RL,CulDSac,181900
8,2,4,4,1566.0,5,1566,1566,3.0,4,0,2.0,1Story,VinylSd,Stone,PConc,Attchd,64,12528,6264,6264.0,36.0,9000,6,FV,Inside,262500
7,17,3,4,908.0,5,1316,2288,2.0,4,3,2.0,2Story,HdBoard,BrkFace,PConc,Attchd,49,16016,3948,3632.0,283.0,13774,6,RL,Inside,230000
9,8,4,5,1698.0,5,1709,1709,3.0,4,3,2.0,1Story,MetalSd,BrkFace,PConc,Attchd,81,15381,6836,6792.0,60.0,5119,6,FV,CulDSac,328900
8,2,4,4,1721.0,5,1721,1721,3.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,13768,6884,6884.0,210.0,9254,6,RL,Inside,232698
8,1,4,4,1254.0,5,1254,1254,3.0,4,0,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,10032,5016,5016.0,140.0,10324,6,RL,Corner,221800
5,35,3,3,576.0,4,864,1350,2.5,4,0,3.0,1.5Fin,Wd Sdng,None,BrkTil,2Types,25,6750,2592,2304.0,0.0,8375,5,RL,Corner,152400
7,8,4,4,1630.0,5,1630,1630,2.0,4,3,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,11410,6520,6520.0,171.0,9750,1,RL,Inside,213000
7,1,4,4,784.0,5,831,1585,2.5,4,0,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,49,11095,3324,3136.0,96.0,7632,1,RL,Inside,184900
5,53,3,3,1165.0,3,1336,1336,2.0,3,4,1.0,1Story,MetalSd,BrkFace,CBlock,Attchd,25,6680,4008,3495.0,56.0,15750,4,RL,Corner,157000
5,4,3,3,864.0,4,1211,1211,1.0,3,3,2.0,1Story,HdBoard,None,CBlock,Detchd,25,6055,3633,2592.0,0.0,9240,4,RL,Inside,144000
6,8,3,4,1259.0,5,1353,1353,3.0,3,3,2.0,1Story,MetalSd,BrkFace,CBlock,Attchd,36,8118,4059,3777.0,253.0,10400,6,RL,Inside,192350
7,41,3,3,1174.0,5,1200,1200,2.5,3,3,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,49,8400,3600,3522.0,202.0,8800,4,RL,Inside,163500
7,18,3,4,1475.0,5,1532,2329,3.5,4,5,2.0,2Story,HdBoard,BrkFace,PConc,Attchd,49,16303,4596,5900.0,99.0,11839,6,RL,Inside,262280
7,5,4,4,1536.0,5,1536,1536,3.0,4,0,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,10752,6144,6144.0,113.0,9135,6,RL,Inside,214000
6,2,3,3,1073.0,5,1811,1811,1.0,5,4,2.0,1Story,Stone,None,PConc,Attchd,36,10866,5433,5365.0,0.0,14115,5,RL,Inside,230000
7,1,4,5,1063.0,5,1071,2172,2.5,4,4,3.0,2Story,VinylSd,BrkFace,PConc,Attchd,49,15204,4284,4252.0,350.0,14154,1,RL,Corner,280000
4,27,3,3,1073.0,4,1073,1073,2.0,3,0,2.0,1Story,MetalSd,None,CBlock,Detchd,16,4292,3219,3219.0,0.0,6565,6,C (all),Corner,140000
6,44,3,3,756.0,3,1051,1839,1.5,3,3,2.0,2Story,MetalSd,BrkFace,CBlock,Attchd,36,11034,3153,2268.0,351.0,7700,1,RL,Inside,155000
6,17,4,4,946.0,5,964,1802,3.0,4,4,4.0,2Story,VinylSd,BrkFace,PConc,2Types,36,10812,3856,3784.0,85.0,12361,6,RL,CulDSac,218000
5,30,3,3,995.0,3,1009,1009,2.0,3,2,2.0,SLvl,Plywood,BrkFace,CBlock,Detchd,25,5045,3027,2985.0,51.0,9720,5,RL,Inside,160000
8,0,4,4,1338.0,5,1338,1338,2.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,64,10704,5352,5352.0,0.0,8640,6,FV,Inside,208900
7,1,4,4,689.0,5,703,1392,2.0,4,0,2.0,2Story,VinylSd,None,PConc,Detchd,49,9744,2812,2756.0,0.0,3180,1,FV,Inside,146000
8,12,4,4,1260.0,5,1288,1288,2.5,5,4,2.0,1Story,BrkFace,None,PConc,Attchd,64,10304,5152,6300.0,0.0,14963,6,RL,Inside,245500
6,58,3,3,992.0,5,1013,1013,1.0,3,0,1.0,1.5Unf,MetalSd,None,BrkTil,Detchd,36,6078,3039,2976.0,0.0,5000,1,RM,Inside,113000
8,4,4,5,1782.0,5,1782,1782,3.0,4,4,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,14256,7128,7128.0,238.0,16870,6,RL,FR3,296000
9,1,4,5,1922.0,5,1922,1922,3.0,4,4,3.0,1Story,VinylSd,Stone,PConc,Attchd,81,17298,7688,7688.0,200.0,14157,6,RL,Corner,377426
10,2,5,5,1700.0,5,1718,1718,3.0,5,4,3.0,1Story,CemntBd,Stone,PConc,Attchd,100,17180,8590,8500.0,230.0,12456,6,RL,FR2,337500
10,4,5,5,2492.0,5,2492,2492,3.5,5,5,3.0,1Story,CemntBd,Stone,PConc,Attchd,100,24920,12460,12460.0,730.0,14836,6,RL,Inside,552000
4,56,3,2,624.0,5,624,936,1.0,3,0,1.0,1.5Fin,VinylSd,None,CBlock,Attchd,16,3744,1872,1872.0,0.0,6956,1,RL,Inside,97900
6,0,4,4,1218.0,5,1218,1218,2.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,36,7308,4872,4872.0,0.0,7862,6,FV,Inside,208300
7,11,3,4,910.0,5,910,1820,2.5,4,3,3.0,2Story,VinylSd,None,PConc,Attchd,49,12740,2730,3640.0,0.0,11050,1,RL,Inside,213000
7,9,3,4,880.0,5,880,1724,2.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,49,12068,2640,3520.0,0.0,8924,1,RL,CulDSac,188000
6,48,3,3,1121.0,5,1336,1336,1.5,3,3,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,36,8016,4008,3363.0,632.0,9610,3,RL,Corner,162000
5,57,3,3,910.0,3,910,1558,1.5,3,0,1.0,1.5Fin,Wd Sdng,None,CBlock,Attchd,25,7790,2730,2730.0,0.0,13710,4,RM,Inside,152000
7,5,4,4,991.0,5,991,1947,2.5,4,4,2.0,2Story,VinylSd,None,PConc,Attchd,49,13629,3964,3964.0,0.0,12552,6,FV,Corner,254900
7,13,4,4,832.0,5,832,1657,2.5,4,0,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,49,11599,3328,3328.0,145.0,14565,6,RL,CulDSac,189000
7,30,4,4,2048.0,3,2064,2064,3.0,4,2,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,49,14448,8256,8192.0,383.0,18559,6,RL,CulDSac,235000
5,58,3,3,1164.0,3,1164,1164,2.0,3,0,1.0,1Story,MetalSd,None,CBlock,Detchd,25,5820,3492,3492.0,0.0,10880,5,RL,Inside,125000
7,35,3,4,836.0,5,836,836,1.0,3,0,1.0,1Story,Plywood,None,CBlock,Attchd,49,5852,2508,2508.0,0.0,2280,1,RL,FR2,120000
1,55,3,0,0.0,3,1600,1600,1.5,3,0,1.0,1Story,CBlock,None,CBlock,Attchd,1,1600,4800,0.0,0.0,31250,0,A (agr),Inside,81500
9,0,5,5,1766.0,5,1766,1766,3.5,5,4,3.0,1Story,CemntBd,Stone,PConc,Attchd,81,15894,8830,8830.0,162.0,9187,6,FV,Inside,370878
5,57,3,3,1001.0,3,1001,2002,2.0,3,0,3.0,2Story,MetalSd,None,CBlock,2Types,25,10010,3003,3003.0,0.0,6270,4,RH,Inside,145000
7,2,4,3,798.0,5,1137,1954,2.0,4,3,2.0,1.5Fin,VinylSd,BrkFace,CBlock,Attchd,49,13678,4548,3192.0,312.0,15660,4,RL,Corner,311500
7,0,4,4,1220.0,5,1364,1364,3.0,4,4,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,49,9548,5456,4880.0,14.0,3087,6,RL,Inside,210250
7,4,4,4,916.0,5,920,1861,3.5,4,0,2.0,2Story,VinylSd,None,PConc,BuiltIn,49,13027,3680,3664.0,0.0,13450,6,RL,Corner,200000
5,32,3,0,0.0,3,1302,1734,2.0,4,0,2.0,1.5Fin,Plywood,None,CBlock,Attchd,25,8670,3906,0.0,0.0,10125,0,RL,Inside,126000
4,6,4,2,405.0,4,717,1039,1.0,3,0,1.0,2Story,MetalSd,None,BrkTil,Detchd,16,4156,2868,1215.0,0.0,8146,1,RL,Corner,114000
4,59,4,2,677.0,3,833,1510,2.0,4,0,2.0,2Story,VinylSd,None,BrkTil,Detchd,16,6040,3332,2708.0,0.0,9600,1,RM,Inside,87500
8,2,4,5,1149.0,5,1164,2541,4.5,5,4,3.0,2Story,VinylSd,Stone,PConc,BuiltIn,64,20328,4656,5745.0,146.0,12328,6,RL,Inside,349265
8,5,4,4,1512.0,5,1512,1512,2.0,4,0,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,64,12096,6048,6048.0,264.0,10141,4,RL,Inside,203000
7,8,4,4,1454.0,5,1434,1434,2.0,4,3,2.0,1Story,VinylSd,None,PConc,Attchd,49,10038,5736,5816.0,0.0,8529,6,RL,Inside,189000
7,6,4,4,812.0,5,812,1653,3.5,4,0,2.0,2Story,VinylSd,None,PConc,Attchd,49,11571,3248,3248.0,0.0,8127,6,FV,Inside,209000
6,59,3,2,917.0,4,1090,2007,2.0,5,0,1.0,2Story,Stucco,None,BrkTil,Detchd,36,12042,3270,4585.0,0.0,8400,1,RM,Corner,160000
5,33,3,2,1037.0,3,1037,1037,2.0,3,0,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,25,5185,3111,3111.0,44.0,10751,5,RL,CulDSac,129000
5,31,3,4,1389.0,4,1389,1389,2.0,3,3,2.0,1Story,HdBoard,None,CBlock,Attchd,25,6945,4167,4167.0,0.0,10010,5,RL,Inside,170000
5,5,3,3,440.0,3,694,694,1.0,4,4,1.0,1Story,WdShing,None,PConc,Detchd,25,3470,2082,1760.0,0.0,4280,2,RL,Inside,90350
5,34,3,3,894.0,3,894,894,2.0,3,0,2.0,1Story,VinylSd,None,PConc,Attchd,25,4470,2682,2682.0,0.0,9800,5,RL,Corner,149900
5,37,3,4,864.0,3,864,864,2.0,3,0,2.0,1Story,MetalSd,None,CBlock,Detchd,25,4320,2592,2592.0,0.0,7560,3,RL,Inside,123000
4,56,3,3,1095.0,2,1095,1774,3.0,3,0,3.0,2Story,AsbShng,None,BrkTil,2Types,16,7096,3285,3285.0,0.0,9600,1,RM,Inside,87000
6,31,3,3,1096.0,3,1118,1118,2.0,3,1,1.0,SLvl,Plywood,None,CBlock,Attchd,36,6708,3354,3288.0,0.0,9880,5,RL,Inside,171000
6,58,3,3,1032.0,3,1032,1252,1.0,3,0,1.0,1.5Fin,VinylSd,None,CBlock,Attchd,36,7512,3096,3096.0,0.0,9600,4,RL,Inside,119000
5,50,3,3,1148.0,3,1148,1148,2.0,3,0,1.0,1Story,BrkFace,None,CBlock,Attchd,25,5740,3444,3444.0,0.0,7931,4,RL,Inside,132500
8,12,3,3,588.0,2,833,1666,1.0,4,4,1.0,2Story,Stucco,None,PConc,Detchd,64,13328,2499,2352.0,0.0,5100,1,RM,Inside,161000
9,6,4,4,1357.0,5,1366,1947,3.5,4,3,3.0,2Story,VinylSd,BrkFace,PConc,BuiltIn,81,17523,5464,5428.0,134.0,9720,6,RL,CulDSac,274000
5,43,3,3,912.0,3,912,912,1.0,3,2,1.0,1Story,HdBoard,None,CBlock,Detchd,25,4560,2736,2736.0,0.0,8521,5,RL,FR2,125000
8,11,4,4,1624.0,5,1624,1624,3.0,4,2,3.0,1Story,ImStucc,None,PConc,Attchd,64,12992,6496,6496.0,0.0,12461,6,RL,Corner,262000
5,30,3,3,914.0,3,914,914,2.0,3,0,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,25,4570,2742,2742.0,40.0,6950,5,RL,Inside,134900
5,48,3,3,1350.0,4,1328,1328,2.0,3,4,1.0,1Story,VinylSd,None,CBlock,Attchd,25,6640,3984,4050.0,0.0,16905,4,RL,Inside,170000
